,match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
235,Australia Vs Ireland,Australia,12,Matthew Wade †,Not Out,7,3,1,0,233.33
236,Australia Vs Ireland,Ireland,1,Paul Stirling,c Cummins b Maxwell,11,7,1,1,157.14
237,Australia Vs Ireland,Ireland,3,Andy Balbirnie (c),b Cummins,6,7,0,1,85.71
238,Australia Vs Ireland,Ireland,5,Lorcan Tucker †,Not Out,71,48,9,1,147.91
239,Australia Vs Ireland,Ireland,6,Harry Tector,c sub (SPD Smith) b Maxwell,6,4,1,0,150.00
240,Australia Vs Ireland,Ireland,8,Curtis Campher,b Starc,0,1,0,0,0.00
241,Australia Vs Ireland,Ireland,10,George Dockrell,b Starc,0,4,0,0,0.00
242,Australia Vs Ireland,Ireland,12,Gareth Delany,c Maxwell b Stoinis,14,10,2,0,140.00
243,Australia Vs Ireland,Ireland,14,Mark Adair,st †Wade b Zampa,11,11,1,0,100.00
244,Australia Vs Ireland,Ireland,16,Fionn Hand,b Zampa,6,6,1,0,100.00
245,Australia Vs Ireland,Ireland,18,Barry McCarthy,c sub (SPD Smith) b Cummins,3,7,0,0,42.85
246,Australia Vs Ireland,Ireland,20,Josh Little,run out (Marsh/Maxwell),1,5,0,0,20.00
247,India Vs South Africa,India,1,KL Rahul,c Markram b Ngidi,9,14,0,1,64.28
248,India Vs South Africa,India,3,Rohit Sharma (c),c & b Ngidi,15,14,1,1,107.14
249,India Vs South Africa,India,5,Virat Kohli,c Rabada b Ngidi,12,11,2,0,109.09
250,India Vs South Africa,India,7,Suryakumar Yadav,c Maharaj b Parnell,68,40,6,3,170.00
251,India Vs South Africa,India,9,Deepak Hooda,c †de Kock b Nortje,0,3,0,0,0.00
252,India Vs South Africa,India,11,Hardik Pandya,c Rabada b Ngidi,2,3,0,0,66.66
253,India Vs South Africa,India,13,Dinesh Karthik †,c Rossouw b Parnell,6,15,0,0,40.00
254,India Vs South Africa,India,15,Ravichandran Ashwin,c Rabada b Parnell,7,11,0,0,63.63
255,India Vs South Africa,India,17,Bhuvneshwar Kumar,Not Out,4,6,0,0,66.66
256,India Vs South Africa,India,18,Mohammed Shami,run out (Nortje),0,2,0,0,0.00
257,India Vs South Africa,India,20,Arshdeep Singh,Not Out,2,1,0,0,200.00
258,India Vs South Africa,South Africa,1,Quinton de Kock †,c Rahul b Arshdeep Singh,1,3,0,0,33.33
259,India Vs South Africa,South Africa,3,Temba Bavuma (c),c †Karthik b Mohammed Shami,10,15,0,1,66.66
260,India Vs South Africa,South Africa,5,Rilee Rossouw,lbw b Arshdeep Singh,0,2,0,0,0.00
261,India Vs South Africa,South Africa,7,Aiden Markram,c Yadav b Pandya,52,41,6,1,126.82
262,India Vs South Africa,South Africa,9,David Miller,Not Out,59,46,4,3,128.26
263,India Vs South Africa,South Africa,10,Tristan Stubbs,lbw b Ashwin,6,6,1,0,100.00
264,India Vs South Africa,South Africa,12,Wayne Parnell,Not Out,2,5,0,0,40.00
265,Netherlands Vs Pakistan,Netherlands,1,Stephan Myburgh,c Mohammad Wasim b Shaheen Shah Afridi,6,11,1,0,54.54
266,Netherlands Vs Pakistan,Netherlands,3,Max O'Dowd,lbw b Shadab Khan,8,13,0,0,61.53
267,Netherlands Vs Pakistan,Netherlands,5,Bas de Leede,Not Out,6,16,1,0,37.50
268,Netherlands Vs Pakistan,Netherlands,6,Tom Cooper,c Mohammad Wasim b Shadab Khan,1,2,0,0,50.00
269,Netherlands Vs Pakistan,Netherlands,8,Colin Ackermann,lbw b Shadab Khan,27,27,2,0,100.00
270,Netherlands Vs Pakistan,Netherlands,10,Scott Edwards (c)†,c Iftikhar Ahmed b Naseem Shah,15,20,1,0,75.00
271,Netherlands Vs Pakistan,Netherlands,12,Roelof van der Merwe,b Haris Rauf,5,6,0,0,83.33
272,Netherlands Vs Pakistan,Netherlands,14,Tim Pringle,b Mohammad Wasim,5,8,0,0,62.50
273,Netherlands Vs Pakistan,Netherlands,16,Logan van Beek,Not Out,6,9,0,0,66.66
274,Netherlands Vs Pakistan,Netherlands,17,Fred Klaassen,b Mohammad Wasim,0,1,0,0,0.00
275,Netherlands Vs Pakistan,Netherlands,19,Paul van Meekeren,run out (Shadab Khan/†Mohammad Rizwan),7,7,0,0,100.00
276,Netherlands Vs Pakistan,Pakistan,1,Mohammad Rizwan †,c †Edwards b van Meekeren,49,39,5,0,125.64
277,Netherlands Vs Pakistan,Pakistan,3,Babar Azam (c),run out (van der Merwe),4,5,1,0,80.00
278,Netherlands Vs Pakistan,Pakistan,5,Fakhar Zaman,c †Edwards b Glover,20,16,3,0,125.00
279,Netherlands Vs Pakistan,Pakistan,7,Shan Masood,c van Meekeren b Glover,12,16,0,0,75.00
280,Netherlands Vs Pakistan,Pakistan,9,Iftikhar Ahmed,Not Out,6,5,0,0,120.00
281,Netherlands Vs Pakistan,Pakistan,10,Shadab Khan,Not Out,4,2,1,0,200.00
282,Bangladesh Vs Zimbabwe,Bangladesh,1,Najmul Hossain Shanto,c Ervine b Sikandar Raza,71,55,7,1,129.09
283,Bangladesh Vs Zimbabwe,Bangladesh,3,Soumya Sarkar,c †Chakabva b Muzarabani,0,2,0,0,0.00
284,Bangladesh Vs Zimbabwe,Bangladesh,5,Litton Das,c Chatara b Muzarabani,14,12,3,0,116.66
285,Bangladesh Vs Zimbabwe,Bangladesh,7,Shakib Al Hasan (c),c Muzarabani b Williams,23,20,1,0,115.00
286,Bangladesh Vs Zimbabwe,Bangladesh,9,Afif Hossain,lbw b Ngarava,29,19,1,1,152.63
287,Bangladesh Vs Zimbabwe,Bangladesh,11,Mosaddek Hossain,c Chatara b Ngarava,7,10,0,0,70.00
288,Bangladesh Vs Zimbabwe,Bangladesh,13,Nurul Hasan †,run out (Williams/†Chakabva),1,1,0,0,100.00
289,Bangladesh Vs Zimbabwe,Bangladesh,15,Yasir Ali,Not Out,1,1,0,0,100.00
290,Bangladesh Vs Zimbabwe,Zimbabwe,1,Wessly Madhevere,c Mustafizur Rahman b Taskin Ahmed,4,3,1,0,133.33
291,Bangladesh Vs Zimbabwe,Zimbabwe,3,Craig Ervine (c),c †Nurul Hasan b Taskin Ahmed,8,7,2,0,114.28
292,Bangladesh Vs Zimbabwe,Zimbabwe,5,Milton Shumba,c Shakib Al Hasan b Mustafizur Rahman,8,15,1,0,53.33
293,Bangladesh Vs Zimbabwe,Zimbabwe,7,Sean Williams,run out (Shakib Al Hasan),64,42,8,0,152.38
294,Bangladesh Vs Zimbabwe,Zimbabwe,9,Sikandar Raza,c Afif Hossain b Mustafizur Rahman,0,3,0,0,0.00
295,Bangladesh Vs Zimbabwe,Zimbabwe,11,Regis Chakabva †,c †Nurul Hasan b Taskin Ahmed,15,19,0,0,78.94
296,Bangladesh Vs Zimbabwe,Zimbabwe,13,Ryan Burl,Not Out,27,25,2,1,108.00
297,Bangladesh Vs Zimbabwe,Zimbabwe,14,Brad Evans,c Afif Hossain b Mosaddek Hossain,2,2,0,0,100.00
298,Bangladesh Vs Zimbabwe,Zimbabwe,16,Richard Ngarava,st †Nurul Hasan b Mosaddek Hossain,6,3,0,1,200.00
299,Bangladesh Vs Zimbabwe,Zimbabwe,18,Blessing Muzarabani,Not Out,0,2,0,0,0.00
300,New Zealand Vs Sri Lanka,New Zealand,1,Finn Allen,b Theekshana,1,3,0,0,33.33
301,New Zealand Vs Sri Lanka,New Zealand,3,Devon Conway †,b de Silva,1,4,0,0,25.00
302,New Zealand Vs Sri Lanka,New Zealand,5,Kane Williamson (c),c †Mendis b Rajitha,8,13,1,0,61.53
303,New Zealand Vs Sri Lanka,New Zealand,7,Glenn Phillips,c Shanaka b Kumara,104,64,10,4,162.50
304,New Zealand Vs Sri Lanka,New Zealand,9,Daryl Mitchell,b Hasaranga,22,24,0,0,91.66
305,New Zealand Vs Sri Lanka,New Zealand,11,James Neesham,c Shanaka b Rajitha,5,8,0,0,62.50
306,New Zealand Vs Sri Lanka,New Zealand,13,Mitchell Santner,Not Out,11,5,0,1,220.00
307,New Zealand Vs Sri Lanka,New Zealand,14,Ish Sodhi,run out (sub [KNA Bandara]/†Mendis),1,1,0,0,100.00
308,New Zealand Vs Sri Lanka,New Zealand,16,Tim Southee,Not Out,4,1,1,0,400.00
309,New Zealand Vs Sri Lanka,Sri Lanka,1,Pathum Nissanka,lbw b Southee,0,5,0,0,0.00
310,New Zealand Vs Sri Lanka,Sri Lanka,3,Kusal Mendis †,c †Conway b Boult,4,3,1,0,133.33
311,New Zealand Vs Sri Lanka,Sri Lanka,5,Dhananjaya de Silva,b Boult,0,3,0,0,0.00
312,New Zealand Vs Sri Lanka,Sri Lanka,7,Charith Asalanka,c Allen b Boult,4,8,0,0,50.00
313,New Zealand Vs Sri Lanka,Sri Lanka,9,Bhanuka Rajapaksa,c Williamson b Ferguson,34,22,3,2,154.54
314,New Zealand Vs Sri Lanka,Sri Lanka,11,Chamika Karunaratne,c Boult b Santner,3,8,0,0,37.50
315,New Zealand Vs Sri Lanka,Sri Lanka,13,Dasun Shanaka (c),c Mitchell b Boult,35,32,4,1,109.37
316,New Zealand Vs Sri Lanka,Sri Lanka,15,Wanindu Hasaranga,c Williamson b Sodhi,4,6,1,0,66.66
317,New Zealand Vs Sri Lanka,Sri Lanka,17,Maheesh Theekshana,c Neesham b Santner,0,3,0,0,0.00
318,New Zealand Vs Sri Lanka,Sri Lanka,19,Kasun Rajitha,Not Out,8,21,0,0,38.09
319,New Zealand Vs Sri Lanka,Sri Lanka,20,Lahiru Kumara,st †Conway b Sodhi,4,5,1,0,80.00
320,Zimbabwe Vs Pakistan,Zimbabwe,1,Wessly Madhevere,lbw b Mohammad Wasim,17,13,3,0,130.76
321,Zimbabwe Vs Pakistan,Zimbabwe,3,Craig Ervine (c),c Mohammad Wasim b Haris Rauf,19,19,2,0,100.00
322,Zimbabwe Vs Pakistan,Zimbabwe,5,Milton Shumba,c & b Shadab Khan,8,10,1,0,80.00
323,Zimbabwe Vs Pakistan,Zimbabwe,7,Sean Williams,b Shadab Khan,31,28,3,0,110.71
324,Zimbabwe Vs Pakistan,Zimbabwe,9,Sikandar Raza,c Haris Rauf b Mohammad Wasim,9,16,1,0,56.25
325,Zimbabwe Vs Pakistan,Zimbabwe,11,Regis Chakabva †,c Babar Azam b Shadab Khan,0,1,0,0,0.00
326,Zimbabwe Vs Pakistan,Zimbabwe,13,Ryan Burl,Not Out,10,15,0,0,66.66
327,Zimbabwe Vs Pakistan,Zimbabwe,14,Luke Jongwe,b Mohammad Wasim,0,1,0,0,0.00
328,Zimbabwe Vs Pakistan,Zimbabwe,16,Brad Evans,b Mohammad Wasim,19,15,0,1,126.66
329,Zimbabwe Vs Pakistan,Zimbabwe,18,Richard Ngarava,Not Out,3,2,0,0,150.00
330,Zimbabwe Vs Pakistan,Pakistan,1,Mohammad Rizwan †,b Muzarabani,14,16,1,1,87.50
331,Zimbabwe Vs Pakistan,Pakistan,3,Babar Azam (c),c Burl b Evans,4,9,1,0,44.44
332,Zimbabwe Vs Pakistan,Pakistan,5,Shan Masood,st †Chakabva b Sikandar Raza,44,38,3,0,115.78
333,Zimbabwe Vs Pakistan,Pakistan,7,Iftikhar Ahmed,c †Chakabva b Jongwe,5,10,1,0,50.00
334,Zimbabwe Vs Pakistan,Pakistan,9,Shadab Khan,c Williams b Sikandar Raza,17,14,0,1,121.42
335,Zimbabwe Vs Pakistan,Pakistan,11,Haider Ali,lbw b Sikandar Raza,0,1,0,0,0.00
336,Zimbabwe Vs Pakistan,Pakistan,13,Mohammad Nawaz,c Ervine b Evans,22,18,1,1,122.22
337,Zimbabwe Vs Pakistan,Pakistan,15,Mohammad Wasim,Not Out,12,13,2,0,92.30
338,Zimbabwe Vs Pakistan,Pakistan,16,Shaheen Shah Afridi,run out (Sikandar Raza/†Chakabva),1,1,0,0,100.00
339,India Vs Netherlands,India,1,KL Rahul,lbw b van Meekeren,9,12,1,0,75.00
340,India Vs Netherlands,India,3,Rohit Sharma (c),c Ackermann b Klaassen,53,39,4,3,135.89
341,India Vs Netherlands,India,5,Virat Kohli,Not Out,62,44,3,2,140.90
342,India Vs Netherlands,India,6,Suryakumar Yadav,Not Out,51,25,7,1,204.00
343,India Vs Netherlands,Netherlands,1,Vikramjit Singh,b Kumar,1,9,0,0,11.11
344,India Vs Netherlands,Netherlands,3,Max O'Dowd,b Patel,16,10,3,0,160.00
345,India Vs Netherlands,Netherlands,5,Bas de Leede,c Pandya b Patel,16,23,0,0,69.56
346,India Vs Netherlands,Netherlands,7,Colin Ackermann,c Patel b Ashwin,17,21,1,0,80.95
347,India Vs Netherlands,Netherlands,9,Tom Cooper,c sub (DJ Hooda) b Ashwin,9,12,0,0,75.00
348,India Vs Netherlands,Netherlands,11,Scott Edwards (c)†,c sub (DJ Hooda) b Kumar,5,8,0,0,62.50
349,India Vs Netherlands,Netherlands,13,Tim Pringle,c Kohli b Mohammed Shami,20,15,1,1,133.33
350,India Vs Netherlands,Netherlands,15,Logan van Beek,c †Karthik b Arshdeep Singh,3,5,0,0,60.00
351,India Vs Netherlands,Netherlands,17,Shariz Ahmad,Not Out,16,11,2,0,145.45
352,India Vs Netherlands,Netherlands,18,Fred Klaassen,lbw b Arshdeep Singh,0,1,0,0,0.00
353,India Vs Netherlands,Netherlands,20,Paul van Meekeren,Not Out,14,6,3,0,233.33
354,South Africa Vs Bangladesh,South Africa,1,Temba Bavuma (c),c †Nurul Hasan b Taskin Ahmed,2,6,0,0,33.33
355,South Africa Vs Bangladesh,South Africa,3,Quinton de Kock †,c Soumya Sarkar b Afif Hossain,63,38,7,3,165.78
356,South Africa Vs Bangladesh,South Africa,5,Rilee Rossouw,c Litton Das b Shakib Al Hasan,109,56,7,8,194.64
357,South Africa Vs Bangladesh,South Africa,7,Tristan Stubbs,c Litton Das b Shakib Al Hasan,7,7,1,0,100.00
358,South Africa Vs Bangladesh,South Africa,9,Aiden Markram,c Soumya Sarkar b Hasan Mahmud,10,11,1,0,90.90
359,South Africa Vs Bangladesh,South Africa,11,David Miller,Not Out,2,4,0,0,50.00
360,South Africa Vs Bangladesh,South Africa,12,Wayne Parnell,Not Out,0,2,0,0,0.00
361,South Africa Vs Bangladesh,Bangladesh,1,Najmul Hossain Shanto,b Nortje,9,9,1,0,100.00
362,South Africa Vs Bangladesh,Bangladesh,3,Soumya Sarkar,c †de Kock b Nortje,15,6,0,2,250.00
363,South Africa Vs Bangladesh,Bangladesh,5,Litton Das,c Stubbs b Shamsi,34,31,1,1,109.67
364,South Africa Vs Bangladesh,Bangladesh,7,Shakib Al Hasan (c),lbw b Nortje,1,4,0,0,25.00
365,South Africa Vs Bangladesh,Bangladesh,9,Afif Hossain,c Parnell b Rabada,1,5,0,0,20.00
366,South Africa Vs Bangladesh,Bangladesh,11,Mehidy Hasan Miraz,c Markram b Shamsi,11,13,0,0,84.61
367,South Africa Vs Bangladesh,Bangladesh,13,Mosaddek Hossain,st †de Kock b Maharaj,0,3,0,0,0.00
368,South Africa Vs Bangladesh,Bangladesh,15,Nurul Hasan †,c Nortje b Shamsi,2,6,0,0,33.33
369,South Africa Vs Bangladesh,Bangladesh,17,Taskin Ahmed,b Nortje,10,17,1,0,58.82
370,South Africa Vs Bangladesh,Bangladesh,19,Hasan Mahmud,run out (Rabada),0,2,0,0,0.00
371,South Africa Vs Bangladesh,Bangladesh,21,Mustafizur Rahman,Not Out,9,3,0,1,300.00
372,Ireland Vs England,Ireland,1,Paul Stirling,c Curran b Wood,14,8,1,1,175.00
373,Ireland Vs England,Ireland,3,Andy Balbirnie (c),c Hales b Livingstone,62,47,5,2,131.91
374,Ireland Vs England,Ireland,5,Lorcan Tucker †,run out (Rashid),34,27,3,1,125.92
375,Ireland Vs England,Ireland,7,Harry Tector,c †Buttler b Wood,0,2,0,0,0.00
376,Ireland Vs England,Ireland,9,Curtis Campher,c †Buttler b Wood,18,11,3,0,163.63
377,Ireland Vs England,Ireland,11,George Dockrell,b Livingstone,0,1,0,0,0.00
378,Ireland Vs England,Ireland,13,Gareth Delany,Not Out,12,10,1,0,120.00
379,Ireland Vs England,Ireland,14,Mark Adair,c Curran b Livingstone,4,4,0,0,100.00
380,Ireland Vs England,Ireland,16,Barry McCarthy,b Curran,3,3,0,0,100.00
381,Ireland Vs England,Ireland,18,Fionn Hand,b Curran,1,2,0,0,50.00
382,Ireland Vs England,Ireland,20,Josh Little,c †Buttler b Stokes,0,1,0,0,0.00
383,Ireland Vs England,England,1,Jos Buttler (c)†,c †Tucker b Little,0,2,0,0,0.00
384,Ireland Vs England,England,3,Alex Hales,c Adair b Little,7,5,1,0,140.00
385,Ireland Vs England,England,5,Dawid Malan,c Hand b McCarthy,35,37,2,0,94.59
386,Ireland Vs England,England,7,Ben Stokes,b Hand,6,8,0,0,75.00
387,Ireland Vs England,England,9,Harry Brook,c Delany b Dockrell,18,21,1,0,85.71
388,Ireland Vs England,England,11,Moeen Ali,Not Out,24,12,3,1,200.00
389,Ireland Vs England,England,12,Liam Livingstone,Not Out,1,2,0,0,50.00
390,Sri Lanka Vs Australia,Sri Lanka,1,Pathum Nissanka,run out (Marsh/†Wade),40,45,2,0,88.88
391,Sri Lanka Vs Australia,Sri Lanka,3,Kusal Mendis †,c Marsh b Cummins,5,6,1,0,83.33
392,Sri Lanka Vs Australia,Sri Lanka,5,Dhananjaya de Silva,c Warner b Agar,26,23,3,0,113.04
393,Sri Lanka Vs Australia,Sri Lanka,7,Charith Asalanka,Not Out,38,25,3,2,152.00
394,Sri Lanka Vs Australia,Sri Lanka,8,Bhanuka Rajapaksa,c Cummins b Starc,7,5,1,0,140.00
395,Sri Lanka Vs Australia,Sri Lanka,10,Dasun Shanaka (c),c †Wade b Maxwell,3,5,0,0,60.00
396,Sri Lanka Vs Australia,Sri Lanka,12,Wanindu Hasaranga,c †Wade b Hazlewood,1,4,0,0,25.00
397,Sri Lanka Vs Australia,Sri Lanka,14,Chamika Karunaratne,Not Out,14,7,2,0,200.00
398,Sri Lanka Vs Australia,Australia,1,David Warner,c Shanaka b Theekshana,11,10,0,0,110.00
399,Sri Lanka Vs Australia,Australia,3,Aaron Finch (c),Not Out,31,42,0,1,73.80
400,Sri Lanka Vs Australia,Australia,4,Mitchell Marsh,c Rajapaksa b de Silva,17,17,1,1,100.00
401,Sri Lanka Vs Australia,Australia,6,Glenn Maxwell,c sub (KNA Bandara) b Karunaratne,23,12,2,2,191.66
402,Sri Lanka Vs Australia,Australia,8,Marcus Stoinis,Not Out,59,18,4,6,327.77
403,Zimbabwe Vs South Africa,Zimbabwe,1,Regis Chakabva †,c †de Kock b Ngidi,8,8,0,1,100.00
404,Zimbabwe Vs South Africa,Zimbabwe,3,Craig Ervine (c),c Ngidi b Parnell,2,6,0,0,33.33
405,Zimbabwe Vs South Africa,Zimbabwe,5,Sean Williams,run out (Miller),1,1,0,0,100.00
406,Zimbabwe Vs South Africa,Zimbabwe,7,Sikandar Raza,c †de Kock b Ngidi,0,2,0,0,0.00
407,Zimbabwe Vs South Africa,Zimbabwe,9,Wessly Madhevere,Not Out,35,18,4,1,194.44
408,Zimbabwe Vs South Africa,Zimbabwe,10,Milton Shumba,c †de Kock b Nortje,18,20,2,0,90.00
409,Zimbabwe Vs South Africa,South Africa,1,Quinton de Kock †,Not Out,47,18,8,1,261.11
410,Zimbabwe Vs South Africa,South Africa,2,Temba Bavuma (c),Not Out,2,2,0,0,100.00
411,Bangladesh Vs Netherlands,Bangladesh,1,Najmul Hossain Shanto,c van Beek b Pringle,25,20,4,0,125.00
412,Bangladesh Vs Netherlands,Bangladesh,3,Soumya Sarkar,c de Leede b van Meekeren,14,14,2,0,100.00
413,Bangladesh Vs Netherlands,Bangladesh,5,Litton Das,c Cooper b van Beek,9,11,0,0,81.81
414,Bangladesh Vs Netherlands,Bangladesh,7,Shakib Al Hasan (c),c de Leede b Shariz Ahmad,7,9,0,0,77.77
415,Bangladesh Vs Netherlands,Bangladesh,9,Afif Hossain,c †Edwards b de Leede,38,27,2,2,140.74
416,Bangladesh Vs Netherlands,Bangladesh,11,Yasir Ali,b van Meekeren,3,5,0,0,60.00
417,Bangladesh Vs Netherlands,Bangladesh,13,Nurul Hasan †,c van Meekeren b de Leede,13,18,0,0,72.22
418,Bangladesh Vs Netherlands,Bangladesh,15,Mosaddek Hossain,Not Out,20,12,2,1,166.66
419,Bangladesh Vs Netherlands,Bangladesh,16,Taskin Ahmed,c van Beek b Klaassen,0,1,0,0,0.00
420,Bangladesh Vs Netherlands,Bangladesh,18,Hasan Mahmud,Not Out,0,3,0,0,0.00
421,Bangladesh Vs Netherlands,Netherlands,1,Vikramjit Singh,c Yasir Ali b Taskin Ahmed,0,1,0,0,0.00
422,Bangladesh Vs Netherlands,Netherlands,3,Max O'Dowd,run out (Afif Hossain/Shakib Al Hasan),8,8,0,1,100.00
423,Bangladesh Vs Netherlands,Netherlands,5,Bas de Leede,c †Nurul Hasan b Taskin Ahmed,0,1,0,0,0.00
424,Bangladesh Vs Netherlands,Netherlands,7,Colin Ackermann,c Mosaddek Hossain b Taskin Ahmed,62,48,6,2,129.16
425,Bangladesh Vs Netherlands,Netherlands,9,Tom Cooper,run out (Najmul Hossain Shanto/†Nurul Hasan),0,0,0,0,-
426,Bangladesh Vs Netherlands,Netherlands,11,Scott Edwards (c)†,c Hasan Mahmud b Shakib Al Hasan,16,24,1,0,66.66
427,Bangladesh Vs Netherlands,Netherlands,13,Tim Pringle,b Hasan Mahmud,1,6,0,0,16.66
428,Bangladesh Vs Netherlands,Netherlands,15,Logan van Beek,c Taskin Ahmed b Hasan Mahmud,2,5,0,0,40.00
429,Bangladesh Vs Netherlands,Netherlands,17,Shariz Ahmad,c Hasan Mahmud b Taskin Ahmed,9,8,1,0,112.50
430,Bangladesh Vs Netherlands,Netherlands,19,Fred Klaassen,Not Out,7,6,0,0,116.66
431,Bangladesh Vs Netherlands,Netherlands,20,Paul van Meekeren,c Litton Das b Soumya Sarkar,24,14,3,1,171.42
432,Pakistan Vs India,Pakistan,1,Mohammad Rizwan †,c Kumar b Arshdeep Singh,4,12,1,0,33.33
433,Pakistan Vs India,Pakistan,3,Babar Azam (c),lbw b Arshdeep Singh,0,1,0,0,0.00
434,Pakistan Vs India,Pakistan,5,Shan Masood,Not Out,52,42,5,0,123.80
435,Pakistan Vs India,Pakistan,6,Iftikhar Ahmed,lbw b Mohammed Shami,51,34,2,4,150.00
436,Pakistan Vs India,Pakistan,8,Shadab Khan,c Yadav b Pandya,5,6,1,0,83.33
437,Pakistan Vs India,Pakistan,10,Haider Ali,c Yadav b Pandya,2,4,0,0,50.00
438,Pakistan Vs India,Pakistan,12,Mohammad Nawaz,c †Karthik b Pandya,9,6,2,0,150.00
439,Pakistan Vs India,Pakistan,14,Asif Ali,c †Karthik b Arshdeep Singh,2,3,0,0,66.66
440,Pakistan Vs India,Pakistan,16,Shaheen Shah Afridi,c & b Kumar,16,8,1,1,200.00
441,Pakistan Vs India,Pakistan,18,Haris Rauf,Not Out,6,4,0,1,150.00
442,Pakistan Vs India,India,1,KL Rahul,b Naseem Shah,4,8,0,0,50.00
443,Pakistan Vs India,India,3,Rohit Sharma (c),c Iftikhar Ahmed b Haris Rauf,4,7,0,0,57.14
444,Pakistan Vs India,India,5,Virat Kohli,Not Out,82,53,6,4,154.71
445,Pakistan Vs India,India,6,Suryakumar Yadav,c †Mohammad Rizwan b Haris Rauf,15,10,2,0,150.00
446,Pakistan Vs India,India,8,Axar Patel,run out (Babar Azam/†Mohammad Rizwan),2,3,0,0,66.66
447,Pakistan Vs India,India,10,Hardik Pandya,c Babar Azam b Mohammad Nawaz,40,37,1,2,108.10
448,Pakistan Vs India,India,12,Dinesh Karthik †,st †Mohammad Rizwan b Mohammad Nawaz,1,2,0,0,50.00
449,Pakistan Vs India,India,14,Ravichandran Ashwin,Not Out,1,1,0,0,100.00
450,Ireland Vs Sri Lanka,Ireland,1,Paul Stirling,c Rajapaksa b de Silva,34,25,4,1,136.00
451,Ireland Vs Sri Lanka,Ireland,3,Andy Balbirnie (c),b Kumara,1,5,0,0,20.00
452,Ireland Vs Sri Lanka,Ireland,5,Lorcan Tucker †,b Theekshana,10,11,1,0,90.90
453,Ireland Vs Sri Lanka,Ireland,7,Harry Tector,c Shanaka b Fernando,45,42,2,1,107.14
454,Ireland Vs Sri Lanka,Ireland,9,Curtis Campher,c Asalanka b Karunaratne,2,4,0,0,50.00
455,Ireland Vs Sri Lanka,Ireland,11,George Dockrell,b Theekshana,14,16,0,0,87.50
456,Ireland Vs Sri Lanka,Ireland,13,Gareth Delany,c Karunaratne b Hasaranga,9,6,1,0,150.00
457,Ireland Vs Sri Lanka,Ireland,15,Mark Adair,c Karunaratne b Hasaranga,0,1,0,0,0.00
458,Ireland Vs Sri Lanka,Ireland,17,Simi Singh,Not Out,7,8,1,0,87.50
459,Ireland Vs Sri Lanka,Ireland,18,Barry McCarthy,Not Out,2,2,0,0,100.00
460,Ireland Vs Sri Lanka,Sri Lanka,1,Kusal Mendis †,Not Out,68,43,5,3,158.13
461,Ireland Vs Sri Lanka,Sri Lanka,2,Dhananjaya de Silva,c †Tucker b Delany,31,25,2,1,124.00
462,Ireland Vs Sri Lanka,Sri Lanka,4,Charith Asalanka,Not Out,31,22,2,0,140.90
463,Afghanistan Vs England,Afghanistan,1,Hazratullah Zazai,c Livingstone b Stokes,7,17,1,0,41.17
464,Afghanistan Vs England,Afghanistan,3,Rahmanullah Gurbaz †,c †Buttler b Wood,10,9,0,1,111.11
465,Afghanistan Vs England,Afghanistan,5,Ibrahim Zadran,c Ali b Curran,32,32,3,1,100.00
466,Afghanistan Vs England,Afghanistan,7,Usman Ghani,c Livingstone b Curran,30,30,3,0,100.00
467,Afghanistan Vs England,Afghanistan,9,Najibullah Zadran,c Rashid b Stokes,13,11,0,1,118.18
468,Afghanistan Vs England,Afghanistan,11,Mohammad Nabi (c),c †Buttler b Wood,3,5,0,0,60.00
469,Afghanistan Vs England,Afghanistan,13,Azmatullah Omarzai,c Stokes b Curran,8,6,1,0,133.33
